POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2044,0,9,0,9,..,73,27,106,0,106,..,13,6,13,0,13,..,187,72,264,0,262,..,175,15,189,8,191,..,1751,421,2173,20,2190,..,30,10,40,268,311,5771,1784,426,2213,290,8278
POA2045,0,7,0,7,..,17,9,21,0,21,..,10,0,10,0,10,..,33,8,36,0,40,..,42,8,45,0,47,..,1444,292,1737,7,1745,..,18,5,22,135,158,4580,1460,296,1755,143,6480
POA2046,0,29,0,29,..,89,20,107,0,107,..,116,10,121,3,123,..,173,29,203,5,213,..,372,44,408,12,426,..,6915,1136,8052,65,8116,..,78,17,92,1017,1108,18057,6988,1149,8140,1085,27288
POA2047,4,23,0,23,..,24,8,35,0,35,..,62,9,74,0,73,..,61,13,74,0,74,..,178,21,198,9,209,..,2263,307,2571,33,2603,..,32,10,40,508,546,8861,2297,316,2613,539,12011
POA2048,0,18,0,17,..,31,3,33,0,33,..,7,4,13,0,13,..,78,22,97,0,96,..,89,7,96,0,98,..,1245,205,1444,19,1462,..,16,6,24,280,307,5847,1263,206,1470,301,7619
POA2049,0,12,0,12,..,38,11,51,0,51,..,19,0,21,0,24,..,95,34,138,5,138,..,227,11,242,12,250,..,2153,370,2525,28,2555,..,38,6,50,645,691,9014,2194,378,2572,672,12258
POA2050,0,19,0,19,..,29,5,36,0,36,..,29,0,29,0,29,..,54,11,65,0,69,..,137,9,148,7,154,..,1792,149,1936,16,1950,..,26,0,33,536,567,6863,1819,148,1966,554,9381
POA2060,0,61,0,61,..,84,20,96,0,100,..,24,0,23,0,23,..,59,5,67,0,67,..,293,26,319,9,326,..,3742,293,4032,44,4074,..,46,0,45,785,838,10222,3784,300,4080,828,15135
POA2061,0,25,0,25,..,24,3,28,0,28,..,11,0,15,0,15,..,18,4,23,0,23,..,99,7,103,0,103,..,1340,210,1551,6,1562,..,12,0,12,470,481,4113,1355,210,1567,473,6158
POA2062,0,16,0,16,..,27,8,35,0,35,..,9,0,9,0,9,..,9,0,10,0,15,..,123,9,141,10,145,..,1124,97,1222,26,1240,..,23,3,26,180,210,5635,1143,105,1250,203,7088
POA2063,0,3,0,3,..,8,5,14,0,14,..,0,0,0,0,0,..,10,7,12,0,12,..,99,7,106,3,107,..,1159,149,1311,4,1319,..,13,3,14,189,208,4968,1173,152,1326,195,6493
POA2064,0,78,0,78,..,97,42,144,0,148,..,19,0,19,0,19,..,40,4,41,0,41,..,224,24,249,9,257,..,3691,551,4240,39,4281,..,36,7,44,326,370,4764,3724,558,4284,369,9417
POA2065,3,98,0,98,..,149,43,188,0,191,..,39,4,42,0,42,..,130,9,140,0,143,..,604,57,663,26,684,..,8202,893,9097,109,9207,..,119,13,134,998,1133,21361,8325,908,9231,1107,31698
POA2066,5,91,0,93,..,141,20,166,0,166,..,66,0,64,0,64,..,109,16,129,3,125,..,812,75,883,34,921,..,8546,1019,9563,125,9688,..,121,22,145,1019,1166,22994,8667,1039,9706,1143,33844
POA2067,0,96,0,100,..,200,36,233,0,233,..,20,0,18,0,18,..,172,19,193,3,196,..,476,100,574,25,602,..,12838,3191,16031,128,16154,..,113,38,150,944,1093,9825,12950,3236,16180,1071,27078
POA2068,0,20,0,20,..,76,17,91,0,91,..,7,0,7,0,7,..,42,6,46,0,46,..,457,45,504,3,511,..,3882,642,4526,22,4552,..,46,8,54,420,476,12425,3929,646,4574,449,17450
POA2069,0,22,0,22,..,27,8,38,0,38,..,16,0,16,0,16,..,36,0,39,0,39,..,368,25,386,11,405,..,3750,576,4328,47,4373,..,37,3,41,364,398,9828,3789,581,4371,408,14604
POA2070,0,21,0,21,..,56,15,70,0,70,..,13,0,13,0,13,..,40,0,42,0,42,..,171,12,186,7,193,..,4574,825,5400,45,5446,..,42,7,49,312,359,8845,4612,831,5448,353,14648
POA2071,0,50,0,50,..,46,4,53,0,53,..,25,0,25,0,25,..,60,7,71,0,71,..,184,19,199,9,209,..,4940,915,5856,45,5893,..,38,11,49,357,404,7214,4984,917,5901,399,13510
POA2072,0,42,0,42,..,33,17,46,0,46,..,4,0,4,0,4,..,40,0,39,0,39,..,93,9,101,9,111,..,3542,722,4256,27,4288,..,31,9,38,243,281,4226,3566,730,4300,267,8795
POA2073,0,95,0,95,..,22,0,22,0,22,..,25,0,25,0,25,..,60,5,64,0,65,..,255,25,281,0,283,..,4903,692,5593,49,5640,..,69,12,80,343,429,11157,4966,703,5674,393,17221
POA2074,3,58,0,58,..,23,3,29,0,29,..,21,0,22,0,22,..,55,11,61,0,65,..,320,31,350,13,362,..,5203,783,5989,55,6042,..,94,10,103,424,531,16852,5298,791,6093,477,23423
POA2075,0,78,0,78,..,37,6,38,0,38,..,21,0,20,0,20,..,37,12,54,0,54,..,498,26,529,4,535,..,6135,1039,7178,51,7230,..,63,10,75,392,468,13970,6199,1049,7249,444,21665
POA2076,5,135,0,135,..,32,3,42,0,42,..,13,0,18,0,17,..,86,17,99,0,99,..,381,36,417,14,430,..,6372,895,7270,58,7324,..,82,16,97,645,740,17270,6455,912,7368,702,25340
POA2077,4,430,3,430,..,218,62,282,0,288,..,22,0,19,0,19,..,204,51,256,0,260,..,1077,136,1213,50,1264,..,17090,3139,20231,231,20462,..,213,39,256,1336,1587,20769,17306,3177,20483,1563,42819
POA2079,3,34,3,30,..,15,3,17,0,17,..,4,0,4,0,4,..,27,4,29,0,32,..,211,24,232,0,234,..,1790,199,1995,20,2009,..,29,3,31,104,133,5666,1824,198,2023,121,7816
POA2080,0,9,0,9,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,42,5,50,0,50,..,279,26,308,0,310,..,0,0,0,26,31,1424,285,26,314,31,1766
POA2081,0,10,0,10,..,7,0,12,0,12,..,0,0,0,0,0,..,20,3,26,0,26,..,96,6,103,0,103,..,673,50,729,4,736,..,21,3,23,58,86,4576,697,56,749,65,5394
POA2082,0,3,0,3,..,11,3,10,0,10,..,3,0,3,0,3,..,14,4,17,0,22,..,72,10,87,3,85,..,454,56,518,10,525,..,18,0,18,74,90,4838,473,61,532,80,5458
POA2083,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,25,0,21,0,21,..,104,10,112,0,112,..,4,0,4,90,98,1455,107,10,119,90,1665
POA2084,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,66,4,71,0,75,..,314,32,344,10,351,..,8,0,8,91,99,3313,321,32,353,97,3759
POA2085,0,13,0,13,..,10,0,15,0,15,..,3,0,3,0,3,..,4,0,6,0,6,..,414,33,452,3,452,..,1552,188,1742,16,1753,..,21,3,20,167,189,9507,1575,187,1763,176,11452
POA2086,0,4,0,4,..,34,4,39,0,39,..,9,4,11,0,11,..,28,0,32,0,32,..,457,32,494,0,494,..,2240,221,2467,13,2476,..,43,8,50,250,296,11434,2282,232,2512,261,14214
POA2087,0,3,0,3,..,26,7,28,0,28,..,14,4,19,0,19,..,18,0,21,0,21,..,575,49,626,14,642,..,2966,322,3284,24,3312,..,41,0,38,348,388,9460,3004,319,3328,375,13161
POA2088,0,25,0,25,..,62,8,68,0,68,..,30,5,40,0,40,..,46,9,56,0,60,..,511,30,547,10,556,..,4187,432,4621,59,4673,..,102,4,104,875,981,22671,4286,439,4724,931,28329
POA2089,0,24,0,24,..,53,22,78,0,78,..,27,0,29,0,29,..,43,0,50,0,50,..,186,16,203,0,205,..,2126,189,2319,25,2341,..,35,3,34,453,489,8662,2157,194,2352,476,11491
POA2090,0,6,0,6,..,73,20,87,0,87,..,33,0,35,0,35,..,39,3,41,0,41,..,224,11,240,10,249,..,2507,239,2749,39,2790,..,48,3,51,424,477,10267,2556,250,2803,467,13533
POA2092,0,0,0,0,..,0,0,0,0,0,..,19,4,17,0,17,..,18,3,20,0,20,..,125,4,130,5,133,..,992,103,1095,9,1106,..,20,4,23,199,221,6051,1014,108,1120,208,7384
