POA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA2019,260,657,171,18,1105,186,36,1324,73,100,33,0,216,66,12,296,143,364,91,6,609,103,12,722,220,462,126,10,820,169,23,1018,32,31,21,6,87,133,6,225,132,204,75,9,416,170,15,600,530,420,120,26,1093,529,81,1706,7,9,0,0,19,4,0,24,0,3,0,0,7,3,0,10,703,657,217,36,1616,843,104,2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,5,25,7,5,36,4,12,5,5,25,7,5,36,5,0,0,0,3,6,0,13,1186,1787,527,68,3570,1207,172,4957
POA2020,380,737,220,28,1360,279,69,1704,65,106,43,4,220,70,17,304,3,10,0,0,15,5,0,17,66,118,45,3,239,70,12,320,50,65,46,8,171,147,19,339,122,93,35,3,253,95,43,388,728,380,81,62,1246,411,281,1935,1218,527,120,122,1996,731,618,3347,3,0,0,0,3,7,0,14,2125,1070,277,201,3676,1392,957,6026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,21,9,4,35,12,10,0,0,21,9,4,35,3,7,0,0,6,14,0,23,2588,1931,554,234,5295,1762,1046,8105
POA2021,135,184,30,4,356,85,25,465,63,45,25,0,135,91,18,245,959,885,259,31,2132,738,325,3196,1021,934,286,28,2268,836,342,3441,76,23,13,4,115,161,47,325,163,87,35,4,289,364,36,685,239,51,30,12,335,761,52,1144,85,14,17,4,121,316,19,459,0,0,0,0,0,0,0,0,563,180,95,21,859,1600,156,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,3,0,25,23,7,55,19,5,3,0,25,23,7,55,0,0,0,0,0,0,0,4,1735,1303,412,56,3508,2542,532,6586
POA2022,136,318,60,3,521,97,25,647,127,207,39,3,371,112,38,525,201,383,91,10,689,203,71,959,325,587,129,18,1055,317,112,1481,93,36,31,4,160,172,49,386,210,72,35,9,318,290,92,705,143,52,17,8,224,171,49,443,593,183,103,10,893,604,107,1612,0,8,0,0,7,0,0,13,1038,348,184,36,1610,1239,305,3155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,30,16,0,129,114,17,263,81,30,16,0,129,114,17,263,0,0,0,0,0,14,3,15,1592,1276,393,60,3313,1778,464,5559
POA2023,350,742,108,15,1209,137,23,1372,13,20,10,0,37,17,3,58,37,46,9,0,93,17,3,116,48,69,12,0,134,33,4,169,80,76,28,3,189,80,15,283,362,206,92,18,678,371,103,1151,278,130,57,9,473,343,97,910,32,12,6,0,52,63,18,126,7,4,0,0,14,3,0,13,752,429,191,29,1399,860,226,2489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,14,0,0,0,0,0,8,5,14,0,0,0,0,0,4,0,7,1149,1248,306,38,2750,1048,262,4056
POA2024,237,595,89,15,934,127,25,1083,77,183,43,7,305,90,18,411,96,244,48,3,384,87,20,494,178,423,86,5,686,179,40,908,149,111,50,3,310,209,61,580,354,133,51,4,546,431,115,1096,95,47,29,3,175,164,26,357,31,24,7,0,58,44,16,120,0,5,0,0,6,0,0,6,635,319,133,17,1098,842,221,2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,5,3,26,20,10,49,12,4,5,3,26,20,10,49,6,0,0,0,6,6,0,8,1059,1344,312,37,2750,1166,293,4212
POA2025,160,227,37,7,432,87,9,532,70,76,21,3,174,80,15,273,179,204,68,10,459,156,40,656,249,279,91,9,633,239,61,928,84,56,24,6,167,133,20,319,194,70,54,6,322,253,57,636,92,31,18,7,150,174,30,356,39,29,9,0,80,97,11,185,0,3,0,0,4,3,0,10,403,178,115,21,723,664,120,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,0,0,6,3,8,0,0,3,0,0,6,3,0,0,0,3,4,0,10,819,690,245,40,1791,1003,192,2988
POA2026,281,684,95,16,1074,150,53,1283,207,463,109,7,789,221,97,1104,200,545,97,6,851,95,33,982,409,1009,200,12,1638,316,131,2083,620,402,130,31,1186,733,387,2304,1502,567,256,51,2371,1854,850,5072,700,263,107,20,1085,929,244,2258,126,62,16,5,208,217,56,481,0,0,4,0,8,5,0,4,2955,1293,501,100,4853,3742,1537,10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,3,0,39,23,25,86,25,16,3,0,39,23,25,86,7,0,0,0,7,8,5,23,3675,3001,809,124,7611,4238,1755,13603
POA2027,107,133,26,3,272,51,13,326,11,4,0,0,17,8,0,27,136,102,27,0,263,103,23,385,145,109,28,0,282,107,23,410,56,34,16,0,102,56,11,167,209,71,59,4,354,255,61,668,355,128,60,6,550,449,62,1059,300,90,51,10,444,425,34,903,5,3,0,0,9,4,0,18,924,330,188,24,1461,1189,170,2821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,8,10,0,19,1172,573,244,27,2017,1358,201,3578
POA2028,86,114,35,0,233,45,4,286,3,6,0,0,9,0,0,13,48,62,18,0,135,34,0,170,55,70,15,0,144,37,7,190,47,28,21,0,97,55,18,166,186,83,47,18,332,243,65,641,226,103,35,5,373,317,92,772,13,3,7,4,22,16,0,42,0,0,0,0,0,0,0,0,476,222,103,23,826,626,170,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,17,0,21,3,0,0,0,5,17,0,21,3,0,0,0,3,0,0,3,624,405,160,29,1218,726,183,2130
POA2029,229,411,71,0,710,100,7,826,23,69,7,0,96,16,0,116,58,93,22,3,178,61,3,236,79,156,29,3,267,77,4,349,130,112,63,6,311,182,35,526,575,350,192,16,1131,660,121,1916,78,28,18,5,130,111,8,249,4,5,0,0,10,22,0,32,12,6,3,0,19,10,0,30,796,505,274,25,1601,984,167,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,0,0,33,31,0,59,22,13,0,0,33,31,0,59,0,3,0,0,3,9,0,8,1123,1088,378,32,2620,1201,181,4006
POA2030,645,1425,212,16,2290,272,28,2596,18,43,10,0,77,27,0,104,97,168,33,0,300,54,3,368,113,214,44,0,376,85,5,469,138,135,54,5,328,221,21,574,175,165,62,6,413,232,21,668,125,75,35,4,237,157,22,415,16,10,3,0,27,20,0,44,0,0,0,0,3,0,0,4,452,386,158,18,1008,630,66,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,7,0,54,41,0,96,25,23,7,0,54,41,0,96,4,5,0,0,14,6,0,15,1236,2053,413,41,3740,1034,106,4881
POA2031,448,1084,193,14,1732,290,59,2081,245,529,117,8,904,238,42,1181,299,517,104,22,942,215,35,1191,543,1048,222,24,1842,447,76,2366,403,316,132,21,877,547,165,1592,1403,706,336,77,2520,1578,556,4650,710,372,125,19,1227,832,190,2252,95,30,15,5,146,202,25,373,3,10,3,0,13,12,3,29,2615,1434,613,124,4784,3169,935,8892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,27,20,4,119,93,35,258,61,27,20,4,119,93,35,258,0,8,0,0,7,9,0,16,3673,3602,1043,173,8487,4013,1107,13615
POA2032,402,807,194,26,1429,353,114,1901,108,147,62,17,337,168,32,531,70,138,66,10,278,175,43,496,180,287,126,22,612,342,72,1031,100,90,40,7,239,221,71,533,259,168,99,31,566,527,193,1285,114,61,23,9,215,137,98,447,68,59,30,12,161,76,103,346,0,4,0,0,6,3,0,15,546,383,190,58,1180,971,471,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,14,17,8,34,3,8,4,0,14,17,8,34,0,0,0,0,0,4,0,13,1141,1484,507,112,3244,1689,667,5599
POA2033,218,420,93,9,738,129,44,915,37,52,19,0,105,21,7,143,34,75,11,6,127,28,12,161,70,122,36,9,233,53,19,304,93,51,31,9,188,127,36,356,312,147,80,17,557,515,144,1220,338,185,61,30,605,385,140,1130,147,77,31,5,267,108,20,403,0,0,0,0,4,0,0,8,892,465,209,63,1628,1134,351,3110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,7,3,0,0,0,3,4,0,7,0,0,0,0,0,8,3,14,1177,1008,332,85,2605,1327,421,4354
POA2034,343,804,109,10,1264,151,40,1454,72,144,27,0,248,70,18,333,131,308,62,3,501,62,22,593,205,454,87,9,751,132,43,928,377,223,96,13,709,463,163,1338,1094,477,301,54,1927,1417,508,3848,177,84,32,8,292,199,58,559,17,4,0,0,19,25,11,52,8,13,0,0,21,6,5,32,1674,792,433,75,2972,2112,744,5829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,14,10,12,38,7,3,0,0,14,10,12,38,0,4,0,0,4,6,0,7,2230,2054,635,94,5014,2411,835,8258
POA2035,1093,2086,468,75,3721,675,141,4535,227,483,116,10,845,278,25,1148,349,675,166,11,1198,265,43,1507,574,1155,289,23,2037,545,71,2653,244,190,193,12,644,471,87,1206,489,307,224,26,1048,924,154,2119,461,216,114,23,813,641,125,1581,328,192,80,23,627,320,107,1051,4,7,0,0,15,11,0,25,1529,915,617,86,3148,2359,475,5978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,10,0,45,47,11,100,28,13,10,0,45,47,11,100,3,3,5,0,13,10,0,18,3223,4165,1389,182,8964,3639,701,13296
POA2036,978,2112,493,72,3654,557,96,4305,59,106,31,4,202,141,9,355,308,720,299,18,1351,314,41,1704,369,824,334,23,1557,453,47,2052,59,68,44,3,178,369,10,551,304,351,267,32,952,730,78,1762,780,590,204,20,1597,719,163,2485,266,174,61,15,510,181,75,775,8,12,3,0,27,11,0,41,1417,1196,579,73,3266,2013,328,5611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,3,0,14,4,5,0,0,5,3,0,14,3,8,0,0,13,5,4,21,2777,4140,1410,165,8495,3032,476,12002
POA2037,88,114,36,4,242,68,22,337,184,136,77,9,406,243,58,707,671,509,268,27,1478,776,302,2555,856,643,340,39,1882,1023,363,3264,90,26,12,5,136,246,45,422,268,90,63,13,425,645,77,1152,315,81,57,16,471,581,62,1111,375,175,74,7,633,419,67,1120,5,0,0,0,0,0,0,0,1041,377,205,43,1668,1892,257,3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,6,0,31,45,11,92,15,7,6,0,31,45,11,92,0,4,0,0,5,13,7,23,1999,1146,587,92,3826,3047,663,7533
POA2038,228,349,73,17,670,157,44,864,324,370,81,16,784,228,51,1068,207,223,63,5,504,157,56,718,528,598,145,20,1288,390,107,1790,99,62,38,0,194,188,32,421,51,20,15,4,79,179,13,275,85,29,6,5,114,249,5,375,0,0,0,0,0,0,0,0,4,3,4,0,12,13,4,22,233,113,59,6,407,631,57,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,16,15,9,47,7,3,0,0,16,15,9,47,0,0,0,0,0,5,0,8,998,1063,273,38,2378,1196,224,3794
POA2039,233,371,70,12,682,162,38,884,153,172,61,3,387,129,32,548,236,286,94,3,622,181,41,852,393,454,153,11,1010,315,81,1397,65,35,9,3,113,123,9,243,74,19,4,3,107,79,15,197,273,107,32,9,416,314,13,741,15,6,8,0,29,32,0,59,5,3,0,0,10,7,0,12,438,172,55,12,674,555,31,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,3,3,29,25,8,51,13,8,3,3,29,21,8,55,6,0,0,0,6,0,0,3,1082,1003,277,36,2396,1047,153,3603
