POA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA2000,6,8,0,0,17,12,3,24,0,0,0,0,0,0,0,0,89,38,14,0,145,59,29,228,88,38,14,0,144,59,29,233,23,5,4,0,30,34,5,69,0,0,0,0,3,4,0,6,253,94,34,18,398,174,69,634,3520,908,405,272,5100,3707,1624,10435,0,0,0,0,0,0,0,0,3798,1007,441,289,5535,3917,1693,11146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,17,0,0,0,0,5,10,5,17,9,4,5,3,20,48,10,71,3913,1048,461,290,5716,4040,1734,11492
POA2007,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,68,44,25,9,156,114,77,338,68,45,25,9,154,114,73,341,0,0,0,0,3,0,0,0,64,11,16,8,96,99,34,227,309,142,69,28,546,501,226,1274,344,108,43,27,519,341,190,1046,0,0,0,0,0,0,0,0,717,262,124,64,1163,940,445,2556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,3,3,11,7,0,0,0,7,3,3,11,8,0,0,0,8,12,3,18,793,306,149,78,1329,1071,528,2926
POA2008,11,8,4,0,25,9,6,41,26,5,3,0,32,13,7,55,236,114,52,16,416,223,287,928,265,121,55,17,451,241,296,984,23,6,0,0,30,30,7,67,126,22,8,12,166,206,99,469,230,51,19,22,316,413,157,893,603,81,45,60,787,1017,222,2023,0,0,0,0,0,0,0,3,981,153,77,92,1309,1670,480,3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,26,6,45,0,4,0,0,8,26,6,45,6,0,0,0,12,22,5,36,1263,290,140,110,1801,1967,791,4564
POA2009,0,0,0,0,0,5,0,0,23,10,8,4,39,20,6,69,62,63,21,0,150,74,26,246,83,67,29,3,189,91,32,317,10,7,7,0,21,12,4,42,21,7,5,5,35,43,3,80,550,259,155,23,995,658,111,1759,1173,542,183,49,1952,1024,385,3362,0,0,0,0,0,0,0,0,1756,811,352,78,3003,1732,502,5233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,5,0,0,5,17,5,25,1846,885,389,80,3203,1838,538,5583
POA2010,37,37,3,0,81,32,17,131,139,50,16,0,214,136,64,415,869,419,162,30,1485,797,620,2902,1012,473,178,35,1700,932,684,3315,160,31,25,7,221,395,72,692,368,50,39,12,475,735,125,1327,986,147,85,41,1257,1920,237,3411,1212,176,80,29,1499,2340,285,4127,5,0,0,0,6,0,0,10,2730,408,222,88,3454,5388,718,9565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,6,3,32,34,15,74,17,9,6,3,32,32,15,75,23,3,0,0,28,34,8,75,3824,930,407,126,5293,6427,1441,13158
POA2011,7,11,4,0,27,4,4,34,0,0,3,0,4,4,0,9,211,81,85,14,392,471,84,939,210,83,91,14,394,468,84,949,56,13,9,0,83,131,27,236,299,46,50,0,397,873,113,1384,1137,186,102,20,1451,3074,214,4734,792,140,56,12,998,1493,140,2630,0,0,0,0,0,0,0,0,2285,378,217,40,2922,5566,488,8979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,17,33,12,62,10,6,0,0,17,33,12,62,13,3,0,0,10,35,0,53,2527,485,313,55,3374,6107,587,10068
POA2015,98,82,22,8,210,52,34,293,188,120,31,11,350,151,43,539,309,296,74,5,692,208,116,1013,494,420,111,14,1038,361,152,1555,57,29,6,0,88,73,15,179,233,77,23,4,333,255,87,683,801,251,104,20,1187,987,224,2396,23,0,6,5,35,38,17,90,0,0,0,0,4,0,0,3,1118,355,144,33,1649,1356,337,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,5,4,16,3,6,30,9,10,5,4,16,3,6,30,5,3,0,0,10,20,0,30,1730,866,277,56,2929,1787,536,5248
POA2016,27,26,0,0,53,15,13,82,105,55,20,4,188,105,42,333,333,300,112,25,774,292,280,1349,437,358,135,30,965,402,323,1684,48,18,8,7,78,105,20,195,234,56,53,9,349,548,100,1000,573,168,39,25,802,707,230,1737,270,38,32,14,349,667,52,1072,5,0,0,0,3,4,5,15,1134,290,124,47,1588,2029,397,4011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,22,25,22,69,16,5,0,0,22,25,22,69,11,0,0,0,10,22,4,33,1621,676,259,80,2640,2498,752,5889
POA2017,20,12,3,0,30,17,6,61,56,47,16,6,122,76,23,230,194,159,137,11,503,246,95,846,243,206,154,17,622,328,123,1071,19,4,5,0,27,73,14,115,130,37,60,3,240,384,58,680,1872,500,176,81,2625,1670,672,4968,2296,683,293,129,3402,2692,1082,7174,3,0,0,0,3,0,0,3,4321,1227,536,214,6295,4818,1818,12933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,17,0,0,0,0,6,3,7,17,8,4,0,0,9,16,0,26,4594,1440,691,238,6966,5178,1956,14103
POA2018,489,854,235,39,1617,340,70,2018,51,73,27,6,156,44,4,206,26,52,8,4,86,14,16,120,80,122,36,8,248,55,20,319,223,349,130,35,744,296,87,1127,208,185,108,4,504,345,54,900,1104,433,133,45,1717,1026,355,3098,181,98,33,16,329,198,45,576,7,3,7,0,20,13,0,32,1721,1074,414,97,3316,1887,541,5741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,8,9,0,29,22,9,60,13,8,4,0,31,22,17,62,3,3,0,0,7,3,0,12,2308,2060,688,145,5208,2304,642,8159
