POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2624,4,4,0,0,0,0,0,0,4,8,4,8,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,10,18
POA2625,24,45,0,3,0,8,0,0,9,37,13,43,0,0,3,11,0,3,3,16,16,59,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,0,3,0,7,13,0,0,44,115
POA2626,79,159,0,7,4,11,0,9,26,120,36,136,0,11,10,22,10,30,22,64,51,210,0,0,0,8,0,0,10,18,11,22,0,0,4,8,5,5,5,11,15,37,0,3,152,409
POA2627,522,1049,6,41,83,360,10,47,278,1079,381,1531,18,70,58,183,55,183,135,435,511,1967,0,5,9,39,0,4,55,141,74,184,5,14,24,53,41,85,69,151,138,334,10,19,1185,3370
POA2628,261,516,0,19,22,83,9,39,137,549,171,686,15,46,14,43,51,160,78,249,253,935,0,0,0,13,6,10,29,65,35,89,0,4,10,18,35,71,40,87,76,175,3,9,591,1634
POA2629,88,161,0,3,3,11,0,0,17,67,22,89,0,0,4,14,3,12,8,23,30,113,0,0,0,6,0,0,0,0,0,6,0,3,0,3,8,17,10,19,11,23,0,0,123,304
POA2630,1087,2150,11,68,79,362,24,112,475,1848,587,2396,32,130,47,144,180,573,257,839,844,3237,3,27,18,71,8,19,124,358,155,471,15,49,34,68,141,299,190,414,349,888,24,58,2308,6336
POA2631,74,148,0,5,8,33,5,8,32,121,33,170,5,12,4,10,10,35,15,57,56,225,0,0,0,0,0,0,9,15,5,15,0,0,0,6,9,23,12,24,17,40,5,4,149,420
POA2632,262,520,0,13,14,82,9,24,95,381,118,506,3,26,10,37,28,76,47,140,162,650,0,6,6,8,4,8,34,94,44,120,0,0,3,13,24,49,29,56,69,184,3,7,499,1354
POA2633,49,92,0,0,0,0,0,0,15,60,16,63,5,17,0,0,4,11,9,25,23,89,0,7,0,8,0,0,4,9,10,20,0,0,0,5,3,9,7,11,8,34,0,0,83,217
POA2640,4381,8704,72,392,402,1821,98,455,2464,9696,3039,12362,180,747,318,1039,683,2126,1182,3916,4221,16277,17,91,143,475,78,280,766,1980,1008,2818,50,160,156,326,528,1125,729,1611,1735,4434,142,306,10478,29718
POA2641,1693,3373,32,184,149,707,67,305,820,3169,1065,4370,63,267,82,262,275,873,420,1405,1485,5773,18,73,66,262,36,135,450,1239,571,1712,26,95,69,153,310,661,413,909,982,2622,80,163,4236,11927
POA2642,577,1148,20,134,75,422,18,80,324,1366,436,2011,38,175,47,148,129,412,217,730,658,2743,5,18,15,64,6,20,55,158,86,260,3,19,8,22,60,138,76,176,156,434,4,10,1405,4341
POA2643,453,898,6,20,35,158,11,44,161,654,210,872,11,51,10,42,53,153,80,244,288,1116,3,7,10,23,4,7,40,103,48,142,5,8,6,22,45,95,53,123,110,267,8,13,857,2300
POA2644,330,643,10,27,24,117,5,23,118,494,153,663,3,22,17,56,45,133,69,213,220,872,4,12,3,25,0,5,29,73,43,113,4,18,10,27,31,67,48,108,88,222,3,14,648,1755
POA2645,48,100,0,7,0,7,4,17,11,37,18,68,0,6,0,0,14,35,9,35,28,100,0,0,4,6,0,0,4,3,6,12,0,5,0,0,11,21,11,21,15,34,0,3,93,240
