POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2000,4014,8099,4,6,47,198,6,15,734,2541,789,2761,19,87,102,327,147,454,264,865,1059,3627,0,0,17,52,3,12,175,385,190,445,18,63,106,227,157,340,286,630,474,1076,297,637,5832,13447
POA2007,808,1637,0,0,9,59,3,14,225,807,244,881,8,25,27,91,31,94,69,213,313,1089,0,0,6,24,3,8,56,136,64,167,8,16,27,51,53,115,84,185,149,354,81,165,1349,3242
POA2008,1273,2550,0,0,15,64,0,3,209,702,218,772,14,44,28,83,30,90,68,220,289,987,0,6,11,23,0,0,46,101,52,127,7,20,30,73,43,98,86,190,139,321,109,228,1813,4090
POA2009,1876,3769,4,9,40,164,4,12,641,2214,681,2405,13,69,89,279,99,338,208,687,894,3089,4,5,25,77,8,19,138,315,166,418,14,34,71,157,143,294,227,488,394,902,79,161,3241,7924
POA2010,3835,7636,0,0,35,161,4,15,690,2402,729,2574,24,102,82,261,102,316,208,679,935,3254,0,3,21,62,6,7,156,350,182,422,6,22,68,145,156,320,232,494,412,916,131,261,5307,12064
POA2011,2533,5009,5,10,15,70,7,26,357,1204,384,1312,7,18,40,117,55,158,103,301,485,1615,3,11,9,35,3,21,109,246,131,310,8,33,39,84,130,265,186,380,314,689,51,114,3385,7423
POA2015,1743,3463,0,4,42,182,8,20,674,2375,724,2582,17,85,58,194,66,222,148,502,869,3085,5,10,14,43,4,14,123,256,145,323,6,32,41,98,86,184,141,310,280,636,55,118,2952,7303
POA2016,1637,3266,4,16,35,151,0,8,488,1751,530,1929,13,45,62,189,75,234,144,471,676,2397,0,3,9,38,3,26,97,244,115,311,0,3,41,84,106,243,152,333,270,642,85,168,2665,6474
POA2017,4637,9247,4,14,44,198,11,55,1176,4000,1234,4264,15,78,87,274,112,347,221,693,1450,4955,0,0,20,69,26,68,278,663,323,810,26,77,96,206,255,544,381,827,703,1633,235,500,7023,16342
POA2018,2389,4815,20,103,150,676,25,123,1229,4439,1423,5341,102,445,179,631,382,1250,662,2317,2084,7661,3,18,13,50,13,50,207,478,237,601,35,109,109,261,324,726,471,1097,710,1697,148,311,5324,14477
POA2019,1258,2530,21,123,138,611,23,116,1095,4061,1283,4903,86,355,159,562,277,931,519,1847,1801,6753,3,11,35,93,16,46,201,512,246,664,26,72,64,143,201,452,286,672,539,1339,69,135,3664,10759
POA2020,2708,5510,10,55,135,609,32,161,1256,4532,1430,5365,73,302,133,450,323,1073,526,1822,1960,7182,6,18,23,75,7,22,180,448,208,556,20,70,66,143,283,634,363,838,578,1397,233,498,5478,14591
POA2021,1752,3490,6,24,119,513,11,42,861,3125,997,3694,43,173,147,476,125,368,311,1021,1302,4718,0,5,38,116,3,17,169,353,216,492,6,26,94,194,97,219,201,442,417,938,57,123,3527,9266
POA2022,1611,3209,6,42,133,579,10,30,833,3105,979,3765,31,127,132,455,136,425,298,1002,1279,4767,0,0,25,75,3,18,143,341,177,429,10,36,67,154,135,279,214,476,395,905,58,126,3337,9006
POA2023,1190,2356,10,59,157,722,13,71,668,2610,845,3453,62,273,192,676,145,456,401,1401,1247,4855,5,18,25,91,3,7,107,245,140,354,7,35,62,132,101,209,171,374,311,735,38,82,2787,8028
POA2024,1095,2178,13,57,143,647,17,66,828,3166,1000,3936,59,245,152,542,137,424,350,1207,1348,5142,7,17,34,93,4,16,117,265,157,393,12,38,48,93,98,211,162,355,317,745,35,72,2798,8139
POA2025,836,1664,0,5,79,339,4,9,440,1637,521,1990,18,76,97,319,60,189,177,578,694,2568,0,3,23,62,0,5,97,225,119,289,5,11,45,98,80,162,126,271,247,559,41,74,1814,4866
POA2026,3717,7382,18,102,287,1264,23,100,2010,7401,2336,8873,100,429,309,1079,263,838,678,2349,3015,11216,3,14,74,215,6,19,349,784,427,1029,28,82,125,267,236,508,389,854,816,1885,129,261,7667,20751
POA2027,1182,2326,0,0,52,241,3,14,349,1257,407,1514,22,87,76,247,73,221,164,559,571,2073,0,0,12,41,3,3,90,206,107,249,14,42,38,91,85,172,131,299,241,549,28,57,2027,5004
POA2028,632,1262,0,6,31,114,4,14,268,966,303,1102,11,43,45,156,52,157,108,358,412,1462,0,0,6,19,0,0,60,135,69,153,9,19,35,81,43,95,93,196,159,350,29,59,1228,3129
POA2029,1156,2292,12,49,120,537,10,34,637,2410,777,3030,48,212,140,497,120,382,313,1095,1087,4124,3,6,29,97,3,6,136,312,169,427,16,55,57,133,131,275,207,464,377,888,36,62,2654,7372
POA2030,1288,2564,26,145,310,1417,17,70,968,3833,1324,5466,144,631,304,1100,291,924,733,2655,2062,8118,0,10,45,142,9,19,137,329,183,503,34,95,71,155,133,290,238,547,424,1048,40,84,3811,11807
POA2031,3734,7447,21,103,309,1365,19,84,2358,8695,2712,10244,122,522,391,1366,385,1220,903,3106,3609,13349,0,5,55,159,3,15,393,882,453,1072,43,145,179,394,374,782,596,1320,1056,2388,168,352,8568,23539
POA2032,1192,2402,8,44,158,709,13,64,799,3059,984,3875,80,330,174,613,260,851,510,1795,1493,5671,5,20,30,104,8,32,143,346,191,499,20,69,66,159,248,548,336,778,520,1279,110,239,3321,9593
POA2033,1211,2442,7,21,93,410,3,21,638,2380,740,2828,34,138,117,406,132,434,282,978,1021,3811,0,8,15,56,0,3,102,222,128,290,6,24,50,102,158,341,215,475,338,762,83,171,2656,7187
POA2034,2276,4540,20,82,186,845,23,101,1241,4667,1472,5698,76,325,250,898,264,827,591,2050,2058,7750,4,21,58,184,3,24,262,604,326,821,20,69,89,202,211,429,314,699,644,1520,93,188,5071,14000
POA2035,3392,6819,28,166,436,1940,57,255,2274,8635,2791,10994,229,976,455,1653,719,2328,1401,4962,4197,15961,11,48,72,234,18,69,400,1012,502,1358,50,167,172,398,682,1493,907,2061,1409,3418,185,393,9182,26590
POA2036,2944,5939,44,238,360,1633,72,327,2225,8459,2697,10653,236,1005,400,1421,857,2818,1492,5247,4190,15898,11,54,79,278,51,152,447,1108,594,1590,77,241,172,387,605,1342,855,1972,1443,3565,165,354,8748,25762
POA2037,2014,4019,4,22,72,301,6,27,760,2713,842,3057,30,114,144,477,135,431,306,1026,1152,4091,3,28,39,138,11,46,209,476,265,687,25,80,89,185,216,475,331,736,592,1422,92,195,3855,9727
POA2038,1021,2029,3,21,104,445,5,23,706,2569,814,3066,38,152,113,385,100,313,246,854,1066,3922,0,0,17,52,3,8,92,199,114,254,14,35,53,113,103,215,168,363,274,618,39,85,2402,6648
POA2039,1088,2170,4,18,63,277,3,23,698,2571,770,2882,22,97,116,393,94,283,231,771,1003,3656,0,5,27,70,3,4,90,204,119,288,8,13,51,111,106,230,156,355,280,646,35,80,2408,6553
POA2040,2234,4443,11,56,241,1027,16,86,1955,7300,2222,8467,85,343,302,1035,270,869,654,2247,2881,10713,3,9,60,179,13,40,322,752,395,985,33,87,107,238,327,701,464,1025,862,2004,98,201,6072,17367
POA2041,1931,3832,13,61,173,747,7,43,1164,4322,1362,5170,53,219,232,797,180,556,468,1567,1826,6736,5,21,27,77,5,19,205,447,244,559,17,51,78,154,155,328,253,538,498,1100,49,102,4302,11774
POA2042,2319,4626,3,26,109,457,7,40,866,3140,988,3656,38,153,144,451,136,432,319,1038,1303,4698,4,17,20,69,5,21,165,350,199,451,23,63,76,163,157,331,249,555,446,1009,92,199,4167,10518
POA2043,1657,3293,0,3,33,135,3,8,571,1988,609,2131,15,46,62,208,37,127,117,382,719,2519,0,0,9,25,0,3,98,215,110,245,6,18,28,56,67,145,102,220,212,469,39,71,2620,6352
POA2044,1001,2014,5,34,47,218,9,40,579,2134,643,2420,23,88,53,177,129,448,204,708,846,3128,0,6,24,66,7,43,87,233,127,341,6,22,35,78,132,302,171,401,296,742,48,105,2197,5986
POA2045,548,1108,14,67,113,517,10,46,399,1593,535,2224,75,317,146,543,213,672,431,1532,967,3754,0,6,17,61,3,12,35,87,59,157,7,39,29,58,135,303,174,395,231,556,21,49,1770,5474
POA2046,2920,5862,25,151,315,1390,35,158,2068,7740,2451,9441,173,743,392,1412,596,1977,1162,4127,3613,13570,7,27,68,206,19,61,322,750,406,1035,29,106,125,276,479,1047,642,1427,1046,2466,125,259,7708,22155
POA2047,1501,2990,8,36,104,480,10,37,831,3080,951,3630,57,239,151,548,192,612,400,1397,1352,5029,0,17,29,80,3,14,148,324,183,432,22,70,73,164,171,364,266,594,443,1026,59,123,3360,9174
POA2048,863,1728,3,28,74,346,9,25,456,1677,546,2073,27,116,92,325,81,255,200,692,745,2761,0,4,20,66,0,0,59,139,90,209,11,32,35,80,84,174,126,288,216,500,53,102,1874,5091
POA2049,1356,2718,3,31,105,471,10,45,725,2631,846,3172,47,178,114,399,142,467,303,1042,1151,4213,0,7,20,68,7,25,131,275,164,373,11,36,68,153,140,315,219,497,384,870,67,136,2949,7937
POA2050,1226,2437,0,9,37,151,4,4,356,1241,397,1407,11,42,50,163,42,128,98,336,497,1745,0,0,12,32,5,18,77,148,90,193,5,7,27,54,61,125,90,183,178,373,43,95,1947,4645
POA2060,2282,4529,8,31,65,314,0,12,777,2721,853,3073,29,111,136,456,143,435,306,1009,1163,4082,0,0,36,90,4,10,146,320,183,423,13,34,79,177,123,259,214,468,399,889,75,158,3914,9660
POA2061,1060,2096,0,5,18,77,0,0,195,653,210,737,9,36,47,148,59,180,111,362,326,1103,0,0,6,29,3,12,42,90,53,127,4,6,27,53,70,141,93,206,152,329,26,56,1572,3586
POA2062,846,1679,0,8,83,345,3,14,593,2184,679,2554,12,55,80,277,59,174,148,505,832,3054,0,0,16,43,0,0,128,269,151,316,11,40,44,95,67,152,126,286,271,607,30,63,1978,5403
POA2063,579,1155,8,47,155,715,3,21,478,1916,649,2703,54,230,159,577,126,411,348,1223,996,3918,0,4,17,53,0,0,57,134,75,190,7,23,31,77,57,120,89,215,164,398,19,30,1751,5510
POA2064,868,1733,0,22,99,448,5,16,914,3305,1023,3790,40,177,142,477,122,382,305,1043,1324,4829,0,4,18,60,7,23,125,305,154,398,15,43,61,137,95,206,174,385,328,779,50,95,2568,7444
POA2065,4381,8717,8,29,247,1072,23,90,2302,8255,2577,9447,94,389,320,1064,345,1072,755,2532,3333,11978,0,8,46,135,8,19,341,746,400,907,28,98,154,345,275,573,461,1018,860,1925,152,315,8726,22933
POA2066,3495,7014,32,162,489,2191,30,123,2847,10637,3395,13109,200,860,542,1931,489,1569,1230,4359,4622,17472,11,31,61,205,13,39,416,959,506,1236,41,142,162,365,350,746,559,1251,1061,2485,120,253,9306,27219
POA2067,2748,5540,13,75,302,1320,23,105,2119,7766,2462,9274,117,474,411,1416,439,1424,962,3310,3425,12584,4,12,72,237,9,27,344,829,430,1103,26,104,225,518,353,756,606,1380,1033,2485,167,363,7379,20971
POA2068,1461,2935,14,65,314,1412,19,86,1433,5676,1784,7243,130,543,402,1429,359,1142,887,3109,2671,10349,3,13,46,146,8,22,192,458,250,641,33,108,120,294,231,506,385,908,631,1546,56,129,4834,14963
POA2069,1291,2583,14,76,300,1361,17,55,1150,4522,1483,6014,134,577,362,1331,348,1116,838,3026,2317,9041,0,5,47,157,6,19,114,292,166,463,16,50,88,207,153,338,261,599,429,1062,37,76,4076,12761
POA2070,1296,2598,12,69,299,1339,13,57,1206,4642,1529,6109,126,548,360,1267,295,926,777,2750,2308,8855,6,32,41,138,8,19,161,397,214,580,22,60,100,223,149,339,268,622,477,1199,44,92,4127,12749
POA2071,1183,2370,10,50,309,1395,20,85,952,3672,1293,5198,140,588,350,1250,326,1049,820,2884,2109,8083,0,7,58,174,4,21,132,331,202,530,29,98,119,266,149,323,296,682,496,1211,46,105,3837,11772
POA2072,865,1729,9,48,143,625,8,41,652,2389,817,3101,94,383,201,710,194,608,487,1704,1310,4805,0,3,33,100,0,10,127,308,162,422,23,72,98,218,106,219,224,507,382,926,21,51,2578,7509
POA2073,1513,3026,19,106,336,1520,16,81,1431,5548,1801,7261,193,862,454,1605,435,1386,1077,3846,2883,11105,7,20,49,153,6,13,149,398,208,593,31,98,115,268,157,333,302,698,511,1293,29,67,4936,15493
POA2074,2286,4565,28,165,432,1960,32,129,1755,6817,2246,9070,214,915,593,2141,539,1740,1344,4794,3589,13865,3,16,64,216,10,20,189,478,267,727,52,153,119,296,235,507,408,955,673,1684,65,130,6607,20244
POA2075,2106,4233,28,150,395,1760,41,172,1884,7373,2351,9455,211,912,462,1642,468,1501,1141,4059,3487,13517,0,7,51,157,13,30,221,565,284,758,32,92,129,283,213,456,371,830,657,1589,38,78,6288,19414
POA2076,2223,4469,44,242,486,2199,44,193,1948,7548,2521,10186,247,1083,595,2108,584,1888,1431,5081,3949,15264,8,35,65,219,9,23,212,530,295,808,48,146,120,275,292,634,457,1058,747,1867,47,90,6969,21697
POA2077,4112,8294,34,170,502,2231,54,253,3964,14578,4558,17229,234,984,580,1988,776,2475,1589,5448,6148,22683,11,41,102,338,21,69,530,1268,663,1709,75,250,249,561,649,1413,977,2220,1640,3931,205,435,12108,35341
POA2079,728,1477,13,69,126,577,13,70,639,2477,799,3192,82,347,136,482,253,813,471,1643,1273,4836,3,19,16,45,0,16,84,224,107,303,16,49,36,83,102,229,164,365,274,665,26,60,2295,7039
POA2080,170,343,3,28,41,184,5,9,135,550,183,778,11,64,24,96,53,158,94,316,278,1093,0,0,4,12,0,4,22,48,20,61,3,7,6,18,26,54,37,76,60,141,0,0,509,1572
POA2081,488,986,10,44,106,500,20,86,408,1618,540,2250,71,306,92,330,181,603,343,1237,888,3486,6,15,12,39,3,23,62,158,77,232,9,29,31,64,60,141,96,233,179,464,0,8,1551,4943
POA2082,524,1044,10,41,104,479,14,61,447,1767,571,2354,56,250,93,317,149,500,300,1062,870,3415,0,5,9,25,0,10,50,135,66,173,15,49,20,47,67,154,102,253,168,425,12,25,1574,4912
POA2083,229,464,3,11,9,50,8,43,98,333,116,438,4,28,23,74,41,138,73,233,188,671,0,0,0,3,0,7,14,39,20,49,3,6,12,16,26,56,39,76,52,116,7,10,479,1261
POA2084,404,806,10,61,58,270,9,41,243,991,323,1365,40,162,70,254,119,396,227,806,551,2168,0,0,7,29,0,10,19,55,35,94,7,20,14,23,28,67,42,113,80,205,6,15,1035,3187
POA2085,1062,2141,21,117,232,1046,36,158,822,3243,1109,4562,141,607,191,695,331,1068,665,2370,1770,6935,12,35,32,114,8,30,83,202,136,373,17,59,40,110,148,335,211,505,346,881,16,49,3203,10000
POA2086,1099,2224,18,101,277,1232,28,127,1241,4966,1566,6426,177,765,278,1012,394,1322,850,3103,2410,9522,0,4,46,151,10,34,114,277,174,474,27,97,41,94,165,367,234,557,407,1032,28,61,3944,12844
POA2087,999,2017,23,115,269,1213,21,92,1056,4269,1362,5695,143,607,294,1061,342,1141,776,2804,2146,8503,4,28,29,97,6,30,111,284,153,437,21,66,77,187,175,382,272,628,424,1065,31,66,3593,11653
POA2088,3382,6738,17,91,429,1901,18,71,1812,6950,2280,9005,170,719,522,1805,407,1277,1106,3798,3388,12804,3,15,66,209,8,31,295,683,372,938,29,87,171,366,285,614,488,1068,862,2006,95,191,7723,21743
POA2089,1540,3064,0,5,80,341,4,15,666,2399,750,2759,21,89,106,360,95,286,224,732,970,3491,0,3,28,76,0,11,162,357,187,442,8,31,81,177,104,220,198,424,382,866,64,131,2961,7555
POA2090,1788,3557,3,15,111,497,8,35,871,3193,996,3737,32,133,191,647,150,466,373,1246,1366,4986,3,6,28,81,0,3,184,425,215,518,14,33,80,169,122,263,213,462,427,981,71,154,3660,9677
POA2092,563,1121,13,64,180,791,13,66,631,2539,838,3465,63,267,176,641,153,491,395,1395,1229,4859,0,3,25,81,6,14,62,156,89,250,6,25,31,73,75,169,119,262,204,513,13,31,2009,6521
POA2093,2130,4273,35,190,379,1715,39,166,2046,7956,2503,10030,176,721,428,1503,394,1251,997,3473,3500,13500,3,7,62,182,6,22,273,631,341,844,41,134,132,288,259,561,433,986,775,1828,66,133,6479,19735
POA2094,728,1452,0,11,68,284,7,31,477,1777,556,2103,30,131,96,337,94,292,229,766,783,2871,3,5,9,26,4,10,55,137,74,180,16,35,28,56,60,125,100,222,170,400,15,30,1698,4757
POA2095,2305,4582,3,27,111,496,6,43,1006,3676,1136,4240,63,262,171,574,168,518,399,1351,1529,5590,3,14,23,72,3,10,149,315,182,417,16,40,62,134,131,266,207,441,389,860,41,92,4270,11117
POA2096,1797,3582,24,121,194,880,14,76,1118,4195,1351,5272,88,370,206,727,218,705,511,1800,1862,7074,4,7,30,97,5,11,183,383,224,503,14,47,84,182,123,265,222,496,442,1001,49,96,4151,11752
POA2097,1530,3083,30,162,248,1128,34,169,1150,4509,1459,5971,173,737,243,877,425,1403,840,3022,2301,8988,11,31,34,108,8,23,173,441,222,606,27,79,71,165,202,445,297,685,522,1288,54,115,4405,13476
POA2099,4436,8957,57,343,477,2188,82,365,3188,12014,3818,14903,295,1260,506,1765,825,2724,1628,5750,5443,20653,12,57,94,262,36,127,538,1258,677,1705,87,294,229,516,681,1472,995,2279,1671,3984,172,363,11721,33952
POA2100,1844,3738,29,166,362,1624,70,311,1741,6841,2202,8942,200,876,395,1405,507,1682,1103,3968,3300,12906,14,52,34,114,19,68,221,576,282,820,49,140,86,205,316,719,442,1061,729,1877,51,112,5927,18631
POA2101,2013,4043,28,131,240,1078,39,176,1410,5421,1718,6807,140,604,249,887,434,1421,825,2910,2541,9707,3,16,59,181,11,36,248,580,326,815,37,109,99,206,289,634,424,954,745,1767,57,118,5363,15644
POA2102,708,1434,15,69,142,632,27,109,691,2700,871,3518,73,308,96,328,189,603,349,1234,1218,4749,9,25,36,102,11,32,108,278,157,434,24,67,38,93,126,278,190,437,341,874,16,34,2288,7090
POA2103,1279,2571,21,120,145,653,31,142,673,2616,867,3534,89,379,133,454,270,875,490,1707,1360,5248,3,6,23,71,11,36,97,252,136,361,18,67,55,123,160,366,234,550,372,918,25,52,3034,8781
POA2104,526,1050,3,17,44,198,3,21,163,664,218,897,39,163,68,226,108,343,215,730,431,1630,0,0,3,10,3,3,31,76,40,92,6,15,4,14,26,57,35,87,74,185,12,20,1041,2884
POA2105,280,565,0,6,26,125,4,34,107,399,142,561,15,46,51,169,53,157,109,372,256,932,0,0,3,8,0,8,12,36,18,50,4,12,10,25,16,34,29,70,47,122,7,9,593,1626
POA2106,1161,2320,17,76,143,663,12,49,597,2274,765,3060,105,425,152,535,240,771,490,1730,1257,4792,5,11,31,90,8,13,109,271,146,379,16,63,41,81,120,254,170,394,321,776,24,53,2768,7946
POA2107,1821,3642,32,156,244,1128,31,140,1016,4119,1327,5547,145,600,217,765,410,1317,773,2682,2099,8226,4,20,43,130,12,28,150,375,208,555,27,93,62,157,163,369,252,619,463,1173,18,41,4407,13083
POA2108,298,598,0,13,13,61,8,10,65,263,84,355,12,39,25,76,40,120,73,242,161,596,0,0,3,5,0,0,5,17,6,25,6,14,12,13,35,77,51,102,56,125,7,8,520,1327
POA2110,868,1721,24,138,193,890,15,60,583,2347,815,3442,102,446,206,761,210,674,517,1877,1334,5320,5,21,29,87,3,7,75,185,103,291,8,27,43,94,96,198,146,320,253,614,18,43,2469,7703
POA2111,1628,3265,12,71,180,828,18,82,1084,4159,1297,5137,121,502,237,858,331,1073,684,2433,1987,7568,3,11,34,109,3,9,166,403,212,528,32,93,94,212,202,430,323,734,537,1265,73,145,4219,12244
POA2112,3792,7645,38,212,410,1840,58,240,2982,11170,3483,13467,276,1189,494,1756,883,2897,1651,5846,5135,19317,7,33,72,227,17,59,425,1021,518,1335,63,210,149,343,572,1279,785,1829,1304,3161,218,451,10450,30576
POA2113,3109,6245,26,133,243,1083,22,108,1961,7163,2249,8482,132,588,337,1168,465,1523,937,3282,3187,11766,4,8,49,145,8,25,257,619,316,798,25,82,122,267,358,792,499,1140,823,1935,191,386,7307,20328
POA2114,2845,5740,23,123,280,1252,25,123,1845,6861,2176,8357,152,661,314,1112,529,1758,995,3526,3171,11888,6,17,38,104,16,55,243,626,300,810,40,132,114,255,383,867,536,1260,837,2065,162,330,7016,20027
POA2115,1003,2023,20,111,128,607,40,195,1013,3864,1204,4780,115,508,122,454,356,1212,601,2170,1801,6947,4,23,39,134,12,52,144,396,199,600,25,108,62,143,251,549,337,795,534,1396,49,98,3387,10470
POA2116,561,1133,19,90,98,466,14,75,531,2060,660,2691,58,264,109,379,180,593,347,1234,1008,3925,0,0,25,77,4,8,102,271,131,362,20,71,39,93,137,303,201,469,329,834,30,68,1932,5965
POA2117,1799,3636,34,192,291,1362,56,257,1607,6196,1989,8007,193,864,315,1124,617,2006,1122,3990,3111,11999,6,43,59,189,22,77,275,735,359,1052,47,170,131,298,387,865,563,1326,930,2375,86,188,5926,18200
POA2118,2339,4721,26,142,371,1692,57,271,2510,9670,2964,11780,248,1056,509,1783,771,2534,1533,5367,4493,17147,13,48,67,207,7,31,362,928,447,1214,53,157,169,428,355,804,588,1386,1030,2603,107,232,7972,24705
POA2119,1189,2368,18,99,257,1165,14,64,920,3663,1210,4992,133,566,311,1121,369,1203,813,2895,2025,7884,6,6,27,79,7,26,86,210,115,322,19,67,57,152,117,260,199,479,312,804,19,46,3547,11101
POA2120,1908,3833,41,223,363,1658,30,125,1616,6288,2050,8295,216,904,440,1563,586,1931,1236,4399,3283,12693,5,26,58,184,13,58,191,501,276,764,34,106,113,259,313,702,455,1062,733,1830,57,126,5989,18481
POA2121,3216,6474,26,133,527,2345,43,170,2923,11000,3510,13647,268,1150,643,2290,815,2668,1733,6107,5240,19755,0,8,70,220,10,39,387,959,471,1238,53,178,219,504,400,841,667,1527,1141,2768,138,289,9738,29286
POA2122,3132,6314,30,156,301,1356,44,189,2239,8389,2611,10086,196,843,461,1580,777,2507,1425,4924,4035,15009,6,26,61,209,23,76,329,823,417,1129,38,128,184,423,435,944,653,1495,1075,2625,152,319,8389,24270
POA2125,1581,3203,36,219,295,1383,31,131,1186,4744,1554,6479,228,965,374,1320,658,2145,1261,4435,2813,10914,5,16,41,125,4,18,91,236,138,397,31,106,57,130,181,414,271,649,406,1045,38,83,4841,15246
POA2126,1637,3307,31,172,437,1981,45,191,1402,5500,1916,7839,232,990,487,1781,692,2255,1415,5021,3332,12863,5,21,40,139,14,35,107,282,161,482,44,138,75,200,206,464,327,806,491,1287,23,59,5489,17511
POA2127,3320,6644,11,46,152,692,17,70,1968,6898,2145,7715,54,223,189,658,227,726,469,1606,2618,9323,4,14,27,83,7,26,273,644,312,767,20,62,86,187,246,520,358,761,662,1527,117,237,6718,17733
POA2128,199,405,4,46,20,98,8,39,187,714,221,900,17,78,25,75,39,121,78,277,300,1174,0,0,5,14,6,22,29,77,39,112,4,16,8,32,42,87,55,133,88,246,13,22,598,1856
POA2130,831,1658,4,14,63,281,4,16,479,1709,549,2022,25,100,63,230,80,271,176,601,724,2621,0,0,8,28,4,16,103,220,117,259,15,42,34,77,99,201,144,323,261,583,43,81,1856,4946
POA2131,2560,5214,15,65,155,693,21,90,1274,4615,1459,5462,84,355,228,778,353,1142,665,2275,2127,7736,4,27,36,141,18,50,243,570,306,789,40,125,138,311,344,751,519,1193,823,1984,171,348,5678,15283
POA2132,966,1960,14,89,156,701,13,60,689,2633,882,3480,83,358,172,583,286,957,539,1895,1414,5381,0,14,31,87,8,28,103,267,143,398,16,58,76,186,178,402,275,643,423,1038,51,110,2847,8487
POA2133,867,1747,15,109,145,679,24,112,724,2806,909,3709,110,469,159,582,355,1185,622,2234,1528,5938,5,21,26,103,11,36,127,331,167,491,20,63,57,136,226,524,298,720,474,1209,62,120,2927,9018
POA2134,1961,4041,13,44,99,434,17,68,822,2984,946,3531,66,307,171,589,294,975,537,1871,1483,5401,4,13,30,97,7,38,158,397,204,543,27,82,144,326,257,580,425,991,630,1535,210,456,4284,11435
POA2135,2439,5050,31,192,285,1368,28,124,1149,4438,1490,6118,250,1124,336,1231,714,2405,1306,4762,2796,10881,6,30,38,138,10,25,142,390,198,583,28,106,97,230,335,763,465,1099,658,1677,269,603,6169,18220
POA2136,650,1311,7,45,87,400,13,63,508,1969,619,2477,69,299,130,457,265,890,461,1647,1079,4120,4,16,20,68,6,16,97,257,128,351,15,54,57,123,163,372,227,552,356,903,37,82,2123,6415
POA2137,3250,6541,37,203,352,1587,49,214,1839,6957,2274,8963,231,995,367,1289,704,2348,1294,4639,3572,13600,10,49,64,208,14,47,302,760,386,1061,50,162,146,326,423,942,613,1424,1002,2489,121,245,7942,22874
POA2138,2517,5065,15,99,155,717,19,75,1468,5287,1656,6179,82,342,193,660,355,1147,627,2153,2281,8327,5,21,23,68,4,13,148,356,187,464,21,83,115,254,284,626,423,960,609,1423,129,269,5533,15090
POA2140,2171,4472,12,56,139,607,21,105,1661,5949,1833,6722,63,272,177,598,216,721,460,1586,2290,8307,8,15,38,133,4,16,161,430,209,589,27,98,110,246,252,552,391,895,599,1485,210,455,5268,14724
POA2141,3056,6310,64,354,296,1413,53,268,1839,7084,2250,9117,218,945,364,1297,916,3051,1492,5289,3739,14405,13,64,56,206,22,84,315,869,409,1220,60,197,149,367,637,1474,845,2038,1254,3260,281,619,8330,24595
POA2142,2113,4371,84,571,264,1369,69,341,1812,7089,2235,9373,148,706,170,597,536,1885,857,3194,3086,12564,24,128,53,221,33,136,311,892,415,1370,39,127,94,228,488,1134,618,1488,1035,2854,210,465,6449,20251
POA2143,663,1389,38,246,130,670,36,186,596,2456,800,3557,93,432,112,384,273,933,479,1755,1274,5311,8,68,25,103,15,57,98,292,149,523,22,86,41,112,201,484,267,682,419,1210,45,102,2398,8007
POA2144,2750,5706,120,800,445,2351,97,483,2266,9260,2927,12890,259,1188,289,1016,830,2808,1372,5010,4300,17906,35,178,71,302,42,176,342,1004,490,1650,61,217,125,295,543,1294,731,1807,1220,3457,315,709,8583,27774
POA2145,6533,13314,152,909,1075,4960,188,938,7932,29909,9358,36713,579,2539,1003,3628,1908,6493,3490,12660,12850,49381,47,246,195,700,92,364,907,2449,1242,3764,169,599,293,705,1375,3175,1844,4478,3087,8245,421,904,22887,71848
