POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA4154,..,343,343,909,34,948,698,11,707,1045,3,1044,392,0,392,131,0,131,3170,389,3558
POA4155,..,57,57,140,5,148,66,0,66,80,0,80,60,0,60,41,0,41,384,63,446
POA4156,..,86,86,288,18,303,179,4,184,284,0,284,124,0,124,55,0,55,933,103,1032
POA4157,..,1639,1639,2352,166,2523,1230,24,1259,1106,6,1112,455,3,457,269,0,269,5410,1848,7257
POA4158,..,480,480,544,42,589,232,8,240,211,0,216,67,0,67,28,0,28,1086,531,1620
POA4159,..,1109,1109,1799,79,1874,865,23,884,929,3,936,374,0,378,159,0,159,4132,1207,5344
POA4160,..,1223,1223,2345,79,2429,1212,16,1231,1291,6,1299,481,0,481,171,0,171,5501,1325,6829
POA4161,..,1111,1111,1916,126,2039,1103,16,1123,1015,4,1018,363,0,363,203,0,203,4600,1256,5859
POA4163,..,2044,2044,2363,117,2486,851,17,868,751,3,753,297,0,297,142,0,143,4411,2181,6588
POA4164,..,892,892,1995,103,2096,1218,14,1232,1398,0,1399,540,0,537,254,0,254,5393,1012,6408
POA4165,..,2430,2430,4779,236,5014,2349,23,2372,2563,8,2568,1029,0,1029,464,0,468,11190,2697,13887
POA4169,..,2721,2721,2340,619,2964,695,212,899,391,80,478,143,20,161,41,10,54,3610,3669,7277
POA4170,..,2659,2659,3151,555,3705,1690,200,1894,1742,72,1816,538,18,556,149,8,158,7272,3506,10781
POA4171,..,1602,1602,2017,190,2208,1041,52,1091,1085,8,1091,380,4,377,102,0,104,4616,1864,6476
POA4172,..,389,389,603,79,686,320,23,345,282,7,289,110,0,108,42,0,42,1360,507,1861
POA4173,..,749,749,1017,105,1125,614,20,632,470,0,474,174,0,177,81,0,83,2358,880,3238
POA4174,..,184,184,299,30,327,220,6,228,202,0,199,56,0,56,36,0,36,800,219,1019
POA4178,..,2718,2718,3149,275,3429,1683,42,1727,1596,13,1608,546,3,552,248,0,248,7223,3060,10276
POA4179,..,1692,1692,2362,123,2483,1271,26,1295,1376,9,1381,464,5,463,164,0,168,5634,1848,7482
POA4183,..,277,277,329,28,356,75,0,80,90,0,90,33,0,33,10,0,10,534,311,842
POA4184,..,1681,1681,1555,218,1777,380,11,389,161,5,165,68,0,68,45,0,45,2206,1910,4114
POA4205,..,861,861,827,72,904,337,5,338,225,0,225,97,0,97,60,0,64,1549,939,2489
POA4207,..,5445,5445,7052,690,7749,3824,106,3929,3505,26,3533,1745,5,1754,1231,0,1231,17363,6285,23644
POA4208,..,942,942,2201,150,2349,1451,23,1475,1656,5,1661,791,0,791,437,0,437,6536,1125,7655
POA4209,..,2664,2664,6381,693,7072,4634,182,4816,4896,58,4956,2163,6,2169,1253,5,1256,19324,3613,22937
POA4210,..,1004,1004,2043,139,2189,1374,31,1405,1638,7,1644,648,0,651,373,0,373,6084,1182,7264
POA4211,..,4482,4482,6731,662,7396,3916,128,4043,3901,35,3940,1505,7,1512,809,0,809,16856,5319,22179
POA4212,..,2137,2137,4488,275,4758,1971,56,2029,1950,17,1971,706,3,712,358,0,358,9481,2480,11960
POA4213,..,1408,1408,2805,213,3016,1873,40,1921,2080,13,2100,918,0,922,535,0,534,8212,1682,9900
POA4214,..,2567,2567,4003,416,4422,2321,145,2467,2363,67,2431,882,28,911,491,17,514,10063,3240,13301
POA4215,..,8540,8540,7406,1521,8930,2993,386,3379,1704,134,1835,584,31,618,278,20,303,12967,10632,23596
POA4216,..,5232,5232,6467,587,7054,2146,86,2233,1647,22,1665,542,5,555,202,0,202,11003,5929,16930
POA4217,..,6212,6212,6408,954,7361,2054,237,2291,1673,98,1773,552,25,579,226,17,242,10907,7553,18462
POA4218,..,4087,4087,4884,823,5709,1784,210,1991,1638,78,1712,531,22,554,184,15,197,9016,5230,14249
POA4220,..,3417,3417,4100,630,4732,1820,188,2005,1744,68,1805,583,0,585,172,9,182,8426,4303,12726
POA4221,..,2847,2847,3394,457,3844,1667,112,1779,1686,38,1725,591,6,598,244,0,242,7573,3456,11030
POA4223,..,1251,1251,1725,161,1880,848,32,880,947,9,963,356,0,361,159,0,160,4036,1458,5489
POA4224,..,716,716,794,115,910,440,32,467,404,12,413,122,4,127,55,0,55,1810,875,2682
POA4225,..,1393,1393,1440,229,1668,357,50,408,194,11,205,62,4,63,30,3,29,2082,1691,3765
POA4226,..,2880,2880,4462,425,4894,2411,133,2544,2230,42,2271,683,13,699,302,9,304,10092,3503,13599
POA4227,..,1781,1781,2499,301,2796,1524,109,1629,1518,29,1551,559,6,564,213,3,223,6321,2225,8542
POA4228,..,179,179,451,26,475,286,12,294,362,3,369,179,0,173,114,0,114,1389,221,1611
