SA2_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
101021007,71,28,41,51,67,94,67,43,8,470,695,295,369,455,641,785,643,380,88,4351
101021008,156,110,119,95,83,107,54,29,9,762,1617,1009,1265,1133,1148,1094,752,385,99,8502
101021009,122,84,169,109,95,84,84,47,42,836,1738,1127,2368,1647,1393,1259,926,552,347,11357
101021010,50,34,83,51,39,60,18,9,3,347,788,530,1093,744,660,619,390,201,58,5083
101021012,173,93,104,108,114,103,38,19,3,755,2718,1670,1479,1806,2169,1670,821,328,79,12740
101021610,98,38,58,74,36,13,17,0,0,334,1874,496,1299,1347,700,291,169,49,6,6231
101021611,263,168,145,174,187,234,143,28,5,1347,3204,1853,1628,2079,2694,2560,1751,659,109,16537
101031013,49,36,31,23,35,44,34,20,10,282,411,217,236,250,287,396,386,200,76,2459
101031014,89,62,132,133,108,67,64,34,18,707,1102,656,860,819,829,943,765,545,244,6763
101031015,60,35,39,40,56,73,53,40,9,405,545,316,286,318,560,629,477,283,66,3480
101031016,97,129,170,102,110,102,82,18,8,818,1296,1081,1326,939,1198,1069,738,289,88,8024
101041017,172,98,85,74,105,111,109,74,18,846,1343,758,751,790,1000,1323,1484,823,319,8591
101041018,140,79,73,77,127,122,126,87,52,883,1227,725,700,763,1073,1432,1703,976,345,8944
101041019,182,94,77,92,92,95,75,81,77,865,1564,839,847,968,1066,1413,1178,704,287,8866
101041020,126,97,82,81,129,198,136,48,3,900,1496,854,778,896,1259,1999,1641,525,121,9569
101041021,66,29,26,37,34,43,34,19,9,297,570,321,296,380,452,610,651,350,163,3793
101041022,0,0,0,0,0,5,3,0,0,8,0,0,0,0,9,10,18,3,0,40
101041023,87,31,39,31,38,55,58,36,26,401,539,289,260,283,409,548,631,327,136,3422
101041024,70,49,32,44,70,77,69,30,4,445,463,321,269,324,478,694,665,272,42,3528
101041025,110,89,72,56,128,133,141,90,60,879,1519,916,977,996,1366,1877,2149,1252,453,11505
101041026,137,93,63,80,102,165,151,59,42,892,1110,661,642,716,1011,1663,1699,827,276,8605
101041027,162,81,74,89,94,159,173,83,42,957,1251,624,691,792,1006,1748,2262,1058,444,9876
101051539,501,303,439,349,353,240,202,112,56,2555,4491,2708,3394,2882,2907,3036,2721,1688,733,24560
101051540,262,136,124,173,170,254,217,93,40,1469,2285,1357,1207,1434,1877,2423,1996,948,299,13826
101061541,96,65,58,61,61,57,47,43,27,515,1310,711,746,841,871,820,767,452,252,6770
101061542,207,125,87,122,178,141,118,67,11,1056,2542,1400,1068,1595,2162,1805,1374,631,135,12712
101061543,238,123,114,121,121,127,89,85,31,1049,2229,1246,1170,1236,1229,1390,1334,829,344,11007
101061544,163,95,75,86,115,153,119,64,18,888,1322,692,738,689,978,1262,1188,643,171,7683
102011028,129,52,29,61,76,72,38,24,3,484,1533,935,514,941,1178,1099,860,382,81,7523
102011029,144,95,42,78,102,93,96,66,20,736,1840,1048,745,1176,1497,1697,1821,958,260,11042
102011030,58,55,60,49,89,73,73,49,3,509,663,551,422,525,758,818,601,314,79,4731
102011031,148,72,72,90,95,94,116,121,105,913,2324,1501,1059,1508,1740,1841,2000,1770,1008,14751
102011032,272,203,258,208,202,232,172,69,66,1682,3239,2519,3544,2836,2564,2658,2140,1160,551,21211
102011033,82,78,51,45,66,65,22,18,5,432,1419,920,756,936,968,804,418,195,74,6490
102011034,79,54,51,47,62,59,62,73,97,584,1320,754,711,789,833,887,931,860,520,7605
102011035,84,39,54,65,52,43,29,13,4,383,1493,808,856,1005,992,921,707,295,78,7155
102011036,88,59,59,56,52,66,30,16,10,436,1668,1044,878,1060,1162,1080,751,370,194,8207
102011037,72,43,29,45,56,63,22,39,22,391,1135,651,590,811,923,925,711,562,252,6560
102011038,105,58,43,55,66,53,47,33,27,487,1304,748,667,846,949,999,857,569,222,7161
102011039,187,108,125,152,127,138,115,76,28,1056,2710,1714,1458,1844,2078,1978,1859,962,253,14856
102011040,395,208,221,238,240,274,289,181,73,2119,4058,2267,2214,2998,3084,3410,3497,2288,879,24695
102011041,146,89,68,102,87,92,78,24,21,707,2147,1267,936,1374,1505,1328,1212,692,217,10678
102011042,209,139,143,117,154,141,125,100,46,1174,2180,1340,1539,1663,1821,1994,1871,1330,598,14336
102011043,187,123,109,91,112,80,58,51,68,879,2142,1230,1415,1426,1298,1276,1238,897,504,11426
102021044,450,231,226,250,221,198,179,143,167,2065,4530,2350,2728,2840,2627,2703,2598,1553,903,22832
102021045,248,143,111,120,130,94,51,28,19,944,2555,1542,1694,1296,1478,1220,852,508,153,11298
102021046,151,96,114,107,118,102,90,73,21,872,1635,982,1141,1041,1146,1399,1273,853,261,9731
102021047,237,143,112,116,126,149,97,93,68,1141,3093,1881,1945,1908,1961,2083,1682,1025,423,16001
102021048,422,282,251,239,250,212,204,222,170,2252,3847,2679,2786,2384,2652,2854,2593,1737,840,22372
102021049,54,44,20,35,45,28,23,8,3,260,608,477,269,383,550,555,388,164,29,3423
102021050,148,79,76,79,93,85,143,140,53,896,1600,1016,1022,994,1151,1505,1825,1465,382,10960
102021051,63,60,29,39,51,51,21,5,9,328,903,658,563,619,712,740,463,209,68,4935
102021052,99,71,63,58,67,75,40,35,12,520,1122,713,677,700,885,911,878,476,130,6492
102021053,220,168,167,185,188,194,205,125,61,1513,2221,1578,1685,1791,2041,2308,2392,1313,514,15843
102021054,177,92,116,100,102,110,85,63,39,884,1597,953,1078,1033,1166,1351,1365,937,444,9924
102021055,93,51,46,38,38,30,27,12,5,340,1039,740,644,652,721,619,466,275,78,5234
102021056,382,216,161,183,164,108,97,86,77,1474,4768,2733,2447,2900,2548,1746,1494,1022,401,20059
102021057,209,138,128,138,132,102,71,46,15,979,1653,1167,1146,1082,1205,1182,976,549,162,9122
103011059,229,150,111,116,121,91,67,47,20,952,2721,1686,1494,1479,1543,1330,1155,657,273,12338
103011060,107,91,98,119,136,132,104,33,10,830,1208,707,582,765,1043,1187,947,394,80,6913
103011061,138,97,91,108,93,72,114,59,7,779,801,449,485,521,606,705,758,405,102,4832
103011612,115,244,397,320,197,122,73,60,44,1572,1338,1672,1795,1221,1138,1221,1058,835,478,10756
103011613,250,152,140,114,147,122,92,45,20,1082,3064,1801,1871,1747,1798,1717,1412,671,225,14306
103021062,222,96,108,105,118,105,76,56,29,915,1354,594,732,711,740,867,727,433,211,6369
103021063,180,113,119,88,113,94,91,66,28,892,1669,1036,980,895,1068,1191,1278,807,359,9283
103021064,122,107,57,70,98,86,97,61,19,717,900,561,500,523,766,917,901,526,128,5722
