SA2_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
101021007,27,92,305,687,375,69,33,23,1610,0,0,24,31,0,0,0,0,60,0,0,0,0,0,0,0,0,3,0,0,26,33,0,0,0,0,63,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,8,10,3,0,0,0,37,0,5,4,0,0,0,0,0,6,34,105,340,726,381,69,36,26,1719
101021008,3,18,112,1231,847,157,61,39,2472,0,23,135,126,4,0,0,0,288,0,13,77,120,15,0,0,7,236,0,36,209,242,21,0,0,12,518,0,19,26,0,0,0,0,0,47,8,13,16,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,30,45,4,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,84,368,1482,867,157,62,54,3075
101021009,0,18,240,1036,559,135,36,23,2052,0,75,304,195,3,0,0,5,574,0,64,269,219,7,0,4,5,567,0,136,572,407,12,0,4,8,1145,6,290,271,24,4,0,0,13,603,8,81,246,17,0,0,0,0,362,0,137,466,30,0,0,0,11,636,0,17,58,6,0,0,0,0,81,0,0,5,5,0,0,0,0,16,14,525,1040,77,9,0,0,28,1695,4,7,4,4,0,0,0,0,21,0,3,0,0,0,0,0,0,13,12,693,1868,1524,577,136,45,61,4916
101021010,0,6,53,302,356,85,27,7,832,0,21,162,58,5,0,0,6,251,0,27,281,131,8,0,0,3,450,0,48,440,186,8,0,0,10,698,10,135,122,23,4,0,0,10,298,0,43,96,0,0,0,0,0,144,0,76,206,9,0,0,0,4,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,256,418,37,3,0,3,16,739,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,8,317,912,522,374,85,30,35,2276
101021012,0,9,41,943,1968,482,88,20,3535,0,3,209,203,38,0,0,8,458,0,4,64,108,24,3,0,0,204,0,7,274,313,60,3,0,6,662,4,35,25,16,0,0,0,0,87,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,28,17,0,0,0,3,97,0,6,0,0,0,0,0,0,6,0,4,3,0,0,0,0,0,3,10,57,347,1276,2022,482,89,34,4305
101021610,0,18,24,347,1221,162,12,14,1796,0,0,0,9,0,0,0,0,14,0,9,26,62,0,0,0,0,96,0,9,26,67,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,64,424,1225,162,12,13,1929
101021611,19,121,405,1363,2287,791,243,42,5265,0,0,19,19,3,0,0,0,43,0,0,0,16,4,0,0,0,25,0,0,28,31,3,0,0,0,66,0,0,0,13,4,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,15,4,4,0,0,24,0,5,4,5,0,0,0,0,13,0,0,5,0,0,0,0,0,11,17,123,444,1409,2293,798,242,40,5374
101031013,0,25,146,458,228,41,13,16,939,0,0,12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,15,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,4,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,6,8,30,171,466,235,41,15,22,981
101031014,7,35,303,1257,633,122,31,43,2415,0,26,80,24,0,0,0,0,132,0,7,12,11,3,0,0,0,30,0,33,92,32,7,0,0,0,166,0,36,50,10,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,49,54,12,0,0,0,0,121,0,6,4,9,3,5,3,0,26,0,3,0,0,0,0,0,0,9,5,121,459,1304,639,127,36,40,2738
101031015,16,51,155,467,411,98,43,18,1255,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,13,0,3,0,0,0,0,0,0,9,16,56,159,470,413,98,41,18,1277
